epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,342.648,0.40617,6.60586,0.42997,0.93205,0.84295,0.90457,0.74629,0.21072,0.66302,0.22078,0.000473642,0.000473642,0.000473642
2,730.785,0.28253,0.57675,0.28827,0.93352,1,0.98948,0.89198,0.14079,0.36367,0.12765,0.000926464,0.000926464,0.000926464
3,1102.22,0.30736,0.51511,0.31124,0.99202,1,0.995,0.79411,0.22342,0.34811,0.22341,0.00135571,0.00135571,0.00135571
4,1472.93,0.28644,0.53361,0.29209,0.80468,1,0.92772,0.83735,0.13356,0.59438,0.12634,0.0013229,0.0013229,0.0013229
5,1846.01,0.27158,0.48275,0.27608,0.98638,0.81891,0.89256,0.74871,0.18524,0.56959,0.16327,0.00128753,0.00128753,0.00128753
6,2221.36,0.26603,0.43195,0.26617,0.99377,1,0.995,0.89559,0.13094,0.2524,0.11727,0.00125216,0.00125216,0.00125216
7,2594.11,0.25397,0.43724,0.25998,0.93807,0.97917,0.97688,0.88038,0.13041,0.30108,0.11703,0.00121679,0.00121679,0.00121679
8,2974.52,0.23686,0.42876,0.23769,0.99452,1,0.995,0.89388,0.13572,0.2389,0.11086,0.00118143,0.00118143,0.00118143
9,3345.45,0.23752,0.42727,0.24878,0.95656,1,0.97617,0.87084,0.12893,0.26495,0.10829,0.00114606,0.00114606,0.00114606
10,3710.45,0.22405,0.41458,0.22216,0.94314,1,0.995,0.91162,0.12066,0.25157,0.10548,0.00111069,0.00111069,0.00111069
11,4088.46,0.23204,0.4089,0.24079,0.99372,1,0.995,0.90217,0.11667,0.22447,0.09687,0.00107532,0.00107532,0.00107532
12,4499.46,0.2188,0.38462,0.21801,0.99455,1,0.995,0.90683,0.11752,0.22395,0.11326,0.00103995,0.00103995,0.00103995
13,4894.15,0.21744,0.38188,0.22107,0.99143,1,0.995,0.91574,0.11518,0.23444,0.09632,0.00100459,0.00100459,0.00100459
14,5252.82,0.20865,0.34487,0.19827,0.99264,1,0.995,0.89542,0.12431,0.2288,0.1069,0.000969219,0.000969219,0.000969219
15,5590.32,0.20651,0.34596,0.20437,0.98934,1,0.995,0.9078,0.11983,0.24858,0.10573,0.000933851,0.000933851,0.000933851
16,5926.84,0.1957,0.35813,0.19647,0.99399,1,0.995,0.9191,0.10813,0.21754,0.09703,0.000898484,0.000898484,0.000898484
17,6262.02,0.19821,0.36248,0.20682,0.95579,1,0.965,0.88319,0.10617,0.23678,0.08967,0.000863116,0.000863116,0.000863116
18,6597.61,0.19578,0.33967,0.20335,0.99448,1,0.995,0.92364,0.10504,0.21052,0.09398,0.000827748,0.000827748,0.000827748
19,6934.04,0.19086,0.33874,0.19766,0.99364,1,0.995,0.92344,0.11257,0.2224,0.09877,0.00079238,0.00079238,0.00079238
20,7281.23,0.17804,0.32525,0.18089,0.96093,1,0.97607,0.91985,0.10526,0.21937,0.09405,0.000757013,0.000757013,0.000757013
21,7622.98,0.17383,0.30896,0.1686,0.99274,1,0.995,0.9237,0.10671,0.20876,0.09392,0.000721645,0.000721645,0.000721645
22,7959.73,0.17576,0.30862,0.17665,0.99463,1,0.995,0.91791,0.11217,0.21029,0.10439,0.000686277,0.000686277,0.000686277
23,8294.46,0.1783,0.3106,0.18449,0.99126,1,0.995,0.93371,0.10251,0.20458,0.09514,0.000650909,0.000650909,0.000650909
24,8631.19,0.17107,0.30311,0.1634,0.9937,1,0.995,0.92349,0.10849,0.2108,0.09417,0.000615542,0.000615542,0.000615542
25,8962.94,0.16595,0.29508,0.15267,0.99557,1,0.995,0.92954,0.10162,0.19373,0.09028,0.000580174,0.000580174,0.000580174
26,9303.23,0.16164,0.29118,0.15754,0.99334,1,0.995,0.93719,0.10184,0.19782,0.09159,0.000544806,0.000544806,0.000544806
27,9638.21,0.15976,0.28286,0.15721,0.99546,1,0.995,0.93842,0.10082,0.19268,0.09192,0.000509438,0.000509438,0.000509438
28,9971.56,0.15623,0.27484,0.15322,0.99442,1,0.995,0.90698,0.11179,0.20589,0.1073,0.000474071,0.000474071,0.000474071
29,10307.1,0.15348,0.27397,0.14836,0.99513,1,0.995,0.91986,0.10684,0.19854,0.09747,0.000438703,0.000438703,0.000438703
30,10643.3,0.14674,0.2629,0.14475,0.9926,1,0.995,0.92623,0.10786,0.20568,0.09911,0.000403335,0.000403335,0.000403335
31,10979.2,0.09942,0.20207,0.12281,0.9949,1,0.995,0.9194,0.1059,0.19915,0.10295,0.000367967,0.000367967,0.000367967
32,11312.6,0.09196,0.19284,0.11993,0.99629,1,0.995,0.92588,0.10433,0.19455,0.09353,0.0003326,0.0003326,0.0003326
33,11645.4,0.09031,0.19765,0.11325,0.99491,1,0.995,0.94251,0.10203,0.19421,0.09336,0.000297232,0.000297232,0.000297232
34,11988.5,0.08514,0.18093,0.10505,0.99606,1,0.995,0.92434,0.10891,0.19979,0.09977,0.000261864,0.000261864,0.000261864
