epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7309,0.97892,2.7307,1.35754,0.99121,0.42308,0.86872,0.74311,0.55744,3.09567,0.85263,0.000465748,0.000465748,0.000465748
2,112.163,0.92411,1.63362,1.26954,0.93085,0.83033,0.93689,0.75167,0.88703,2.29907,1.06328,0.000923428,0.000923428,0.000923428
3,166.673,0.93131,1.4615,1.23283,0.95906,0.96859,0.99346,0.75215,0.92957,1.80349,1.04983,0.00136225,0.00136225,0.00136225
4,221.095,0.91778,1.33547,1.23147,0.90224,0.979,0.9636,0.77989,0.75264,1.40013,0.97495,0.00134412,0.00134412,0.00134412
5,275.634,0.85361,1.16649,1.17783,0.96166,0.99195,0.9942,0.84437,0.53379,1.05254,0.9099,0.00131582,0.00131582,0.00131582
6,330.253,0.83007,1.04552,1.16651,0.75539,0.92242,0.92813,0.75405,0.73437,1.26133,0.9847,0.00128753,0.00128753,0.00128753
7,384.779,0.83422,0.96138,1.14874,0.98954,1,0.995,0.85902,0.53507,0.72986,0.86536,0.00125923,0.00125923,0.00125923
8,439.354,0.80154,0.8999,1.12634,0.99507,1,0.995,0.88663,0.55376,0.61321,0.86003,0.00123094,0.00123094,0.00123094
9,493.982,0.79878,0.83487,1.15347,0.95254,0.96084,0.995,0.86312,0.54699,0.74018,0.86002,0.00120265,0.00120265,0.00120265
10,548.783,0.74528,0.73693,1.08157,0.97088,1,0.995,0.8777,0.58103,0.60115,0.8827,0.00117435,0.00117435,0.00117435
11,603.226,0.76399,0.76184,1.10824,0.9891,0.99852,0.995,0.82264,0.65201,0.60051,0.8901,0.00114606,0.00114606,0.00114606
12,657.655,0.75106,0.691,1.08788,0.9909,1,0.995,0.8404,0.61607,0.52272,0.89364,0.00111776,0.00111776,0.00111776
13,712.076,0.72981,0.67572,1.09232,0.99639,1,0.995,0.89086,0.56956,0.5232,0.86645,0.00108947,0.00108947,0.00108947
14,766.662,0.74,0.62845,1.07281,0.99338,1,0.995,0.83051,0.61644,0.47118,0.87843,0.00106118,0.00106118,0.00106118
15,821.211,0.69467,0.62228,1.07641,0.99619,1,0.995,0.86323,0.55165,0.41334,0.86313,0.00103288,0.00103288,0.00103288
16,875.74,0.69851,0.63474,1.07343,0.98986,1,0.995,0.91152,0.44822,0.42103,0.83781,0.00100459,0.00100459,0.00100459
17,930.262,0.68964,0.58841,1.07725,0.98194,0.98484,0.995,0.88655,0.49384,0.50619,0.86568,0.000976293,0.000976293,0.000976293
18,985.007,0.67354,0.56698,1.06026,0.99238,1,0.995,0.89884,0.49722,0.39904,0.84737,0.000947999,0.000947999,0.000947999
19,1039.72,0.67705,0.55132,1.06253,0.99419,1,0.995,0.88413,0.47819,0.38411,0.84813,0.000919704,0.000919704,0.000919704
20,1094.6,0.62782,0.50847,1.03348,0.9944,1,0.995,0.89348,0.49153,0.36577,0.8518,0.00089141,0.00089141,0.00089141
21,1149.4,0.63698,0.51326,1.034,0.99345,1,0.995,0.90552,0.46067,0.39113,0.84795,0.000863116,0.000863116,0.000863116
22,1204.01,0.6406,0.51599,1.04839,0.99442,1,0.995,0.89148,0.50311,0.35931,0.85465,0.000834822,0.000834822,0.000834822
23,1258.61,0.67172,0.53569,1.06227,0.99213,1,0.995,0.91422,0.44244,0.32739,0.83325,0.000806528,0.000806528,0.000806528
24,1313.28,0.6224,0.49434,1.02889,0.99481,1,0.995,0.91523,0.43622,0.29198,0.83007,0.000778233,0.000778233,0.000778233
25,1367.94,0.58407,0.44386,0.99416,0.99686,1,0.995,0.91531,0.42127,0.33148,0.8318,0.000749939,0.000749939,0.000749939
26,1422.44,0.57852,0.44536,1.00456,0.99619,1,0.995,0.91633,0.40232,0.29385,0.82888,0.000721645,0.000721645,0.000721645
27,1477.1,0.57952,0.43686,1.01163,0.99404,1,0.995,0.92901,0.43554,0.32036,0.83625,0.000693351,0.000693351,0.000693351
28,1531.91,0.56121,0.42233,0.99664,0.99596,1,0.995,0.88889,0.46926,0.3068,0.83735,0.000665057,0.000665057,0.000665057
29,1586.65,0.57593,0.44148,1.00721,0.99539,1,0.995,0.91219,0.44425,0.29038,0.83456,0.000636762,0.000636762,0.000636762
30,1641.59,0.57412,0.4479,1.01483,0.99595,1,0.995,0.92352,0.39323,0.29923,0.82939,0.000608468,0.000608468,0.000608468
