epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.494418,0.8634,0.33333,1,0.8889,6.668e-05,6.668e-05,6.668e-05
2,1.73359,0.73223,0.375,1,0.76335,0.000142604,0.000142604,0.000142604
3,2.14999,0.47723,0.66667,1,0.68547,0.000210275,0.000210275,0.000210275
4,2.54416,0.3409,0.75,1,0.644,0.000269696,0.000269696,0.000269696
5,2.95524,0.27643,0.83333,1,0.56915,0.000320864,0.000320864,0.000320864
6,3.34562,0.71795,0.83333,1,0.55546,0.000363781,0.000363781,0.000363781
7,3.73286,0.74492,0.83333,1,0.55984,0.000398446,0.000398446,0.000398446
8,4.12982,0.23113,0.83333,1,0.52876,0.00042486,0.00042486,0.00042486
9,4.52191,0.18477,0.83333,1,0.46948,0.000443022,0.000443022,0.000443022
10,4.92279,0.2185,0.83333,1,0.43391,0.000452932,0.000452932,0.000452932
11,5.29723,0.16705,0.83333,1,0.38951,0.000454591,0.000454591,0.000454591
12,5.66007,0.19007,0.83333,1,0.3814,0.000447998,0.000447998,0.000447998
13,6.04782,0.1496,0.83333,1,0.35761,0.000433153,0.000433153,0.000433153
14,6.42354,0.15572,0.83333,1,0.34288,0.000410057,0.000410057,0.000410057
15,6.83077,0.16648,0.83333,1,0.35082,0.000378709,0.000378709,0.000378709
16,7.22279,0.13047,0.83333,1,0.33104,0.000339109,0.000339109,0.000339109
17,7.62485,0.13674,0.83333,1,0.32642,0.000291258,0.000291258,0.000291258
18,8.03192,0.12135,0.83333,1,0.34205,0.000235155,0.000235155,0.000235155
19,8.40452,0.13187,0.875,1,0.3352,0.000170801,0.000170801,0.000170801
20,8.77633,0.1065,0.875,1,0.33824,9.81946e-05,9.81946e-05,9.81946e-05
