epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.431345,0.79561,0.33333,1,0.94554,6.668e-05,6.668e-05,6.668e-05
2,0.889691,0.74283,0.41667,1,0.79247,0.000148545,0.000148545,0.000148545
3,1.34487,0.55955,0.70833,1,0.64919,0.000228759,0.000228759,0.000228759
4,1.77145,0.49065,0.75,1,0.55714,0.000307323,0.000307323,0.000307323
5,2.18929,0.44519,0.83333,1,0.45661,0.000384237,0.000384237,0.000384237
6,2.60072,0.38122,0.83333,1,0.38735,0.0004595,0.0004595,0.0004595
7,3.00384,0.34743,0.875,1,0.27503,0.000533113,0.000533113,0.000533113
8,3.40595,0.30014,0.91667,1,0.2381,0.000605076,0.000605076,0.000605076
9,3.83167,0.25056,1,1,0.17601,0.000675388,0.000675388,0.000675388
10,4.24344,0.23097,1,1,0.15607,0.00074405,0.00074405,0.00074405
11,4.66053,0.19191,0.95833,1,0.12436,0.000811062,0.000811062,0.000811062
12,5.05558,0.19555,0.95833,1,0.0967,0.000876424,0.000876424,0.000876424
13,5.43677,0.1768,1,1,0.07696,0.000940135,0.000940135,0.000940135
14,5.84734,0.22297,1,1,0.07903,0.0010022,0.0010022,0.0010022
15,6.26531,0.20753,0.91667,1,0.10557,0.00106261,0.00106261,0.00106261
16,6.65152,0.15315,0.95833,1,0.1153,0.00112137,0.00112137,0.00112137
17,7.04383,0.1852,0.95833,1,0.08818,0.00117848,0.00117848,0.00117848
18,7.44195,0.15113,0.95833,1,0.0832,0.00123394,0.00123394,0.00123394
19,7.83821,0.12632,0.95833,1,0.13102,0.00128774,0.00128774,0.00128774
20,8.24976,0.1394,1,1,0.05868,0.0013399,0.0013399,0.0013399
21,8.6438,0.076,1,1,0.05844,0.00133693,0.00133693,0.00133693
22,9.05771,0.18553,1,1,0.0467,0.00132043,0.00132043,0.00132043
23,9.4655,0.13694,0.95833,1,0.08084,0.00130393,0.00130393,0.00130393
24,9.87555,0.06377,1,1,0.0048,0.00128742,0.00128742,0.00128742
25,10.2896,0.04717,1,1,0.00272,0.00127092,0.00127092,0.00127092
26,10.6867,0.06505,1,1,0.00233,0.00125442,0.00125442,0.00125442
27,11.103,0.06564,1,1,0.00333,0.00123791,0.00123791,0.00123791
28,11.5566,0.04937,1,1,0.00764,0.00122141,0.00122141,0.00122141
29,11.9597,0.0894,1,1,0.01241,0.00120491,0.00120491,0.00120491
30,12.3893,0.07753,1,1,0.01792,0.0011884,0.0011884,0.0011884
