epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7753,0.994,4.17792,1.32897,0.00989,1,0.41986,0.3746,0.48569,3.61902,0.84323,0.00014,0.00014,0.00014
2,55.9525,0.70816,3.24209,1.024,0.01528,1,0.65163,0.58413,0.47567,3.40412,0.83378,0.000284258,0.000284258,0.000284258
3,70.9187,0.68556,2.70751,1.03606,0.73333,0.5,0.75229,0.64989,0.53871,3.1236,0.84288,0.000422576,0.000422576,0.000422576
4,85.769,0.70377,2.12736,1.01903,0.58832,0.60714,0.78269,0.69674,0.53502,2.29299,0.84541,0.000554954,0.000554954,0.000554954
5,103.477,0.71634,1.78925,1.03278,0.91255,0.88913,0.99267,0.8894,0.5429,1.68708,0.84791,0.000681392,0.000681392,0.000681392
6,126.081,0.71698,1.62478,1.0224,0.94538,1,0.98885,0.84738,0.60882,1.33869,0.86238,0.00080189,0.00080189,0.00080189
7,141.151,0.71599,1.8168,0.9929,0.925,0.92857,0.98146,0.85662,0.60191,1.43671,0.86985,0.0008812,0.0008812,0.0008812
8,156.845,0.64825,1.58075,0.96924,0.99254,1,0.995,0.86377,0.58007,1.12133,0.86715,0.0008614,0.0008614,0.0008614
9,177.456,0.64453,1.54637,0.99264,0.98843,1,0.995,0.85577,0.59805,1.19193,0.87098,0.0008416,0.0008416,0.0008416
10,203.949,0.67169,1.55616,0.9971,0.99263,1,0.995,0.87209,0.57845,1.1626,0.8599,0.0008218,0.0008218,0.0008218
11,228.395,0.68447,1.56574,0.99287,0.97917,0.95833,0.98929,0.86754,0.53894,1.25799,0.85444,0.000802,0.000802,0.000802
12,248.63,0.65896,1.5013,0.99924,0.9978,0.99373,0.995,0.86415,0.52241,1.20776,0.85126,0.0007822,0.0007822,0.0007822
13,265.654,0.57204,1.33279,0.96962,0.99365,1,0.995,0.85946,0.52329,1.13598,0.85167,0.0007624,0.0007624,0.0007624
14,281.487,0.57225,1.37148,0.96372,0.99101,1,0.995,0.8718,0.53194,1.0696,0.86079,0.0007426,0.0007426,0.0007426
15,316.096,0.60806,1.30379,0.96852,0.99298,1,0.995,0.89116,0.51093,0.99863,0.85446,0.0007228,0.0007228,0.0007228
16,335.52,0.56629,1.35682,0.93517,0.98347,1,0.995,0.88785,0.48897,1.07642,0.84977,0.000703,0.000703,0.000703
17,351.487,0.60278,1.39262,0.97613,0.97918,1,0.995,0.87314,0.50751,1.06493,0.84911,0.0006832,0.0006832,0.0006832
18,369.212,0.65138,1.22023,1.00845,0.96411,0.99296,0.995,0.87484,0.5504,1.13133,0.86124,0.0006634,0.0006634,0.0006634
19,388.459,0.58819,1.18048,0.97457,0.99437,1,0.995,0.88194,0.51919,0.98868,0.85655,0.0006436,0.0006436,0.0006436
