epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.504,0.83987,3.36791,1.23436,0.03794,1,0.52925,0.46639,0.49478,3.40868,0.85623,0.00028886,0.00028886,0.00028886
2,53.9118,0.72971,2.04799,1.09599,0.955,0.5,0.82184,0.66485,0.52323,2.85448,0.87392,0.000572175,0.000572175,0.000572175
3,76.3831,0.7253,1.67916,1.05046,0.96301,0.5,0.96639,0.8317,0.52734,2.41607,0.91682,0.000838519,0.000838519,0.000838519
4,105.167,0.73819,1.48436,1.02844,0.89826,0.93211,0.995,0.87843,0.5468,1.9783,0.92115,0.00101672,0.00101672,0.00101672
5,135.975,0.72917,1.63707,1.08367,0.99352,1,0.995,0.84126,0.58677,1.12325,0.98609,0.000985298,0.000985298,0.000985298
6,167.409,0.7135,1.41262,1.04506,0.96912,0.99621,0.995,0.87219,0.48872,1.17164,0.91694,0.000953873,0.000953873,0.000953873
7,198.517,0.64128,1.32828,1.00202,0.96338,0.93433,0.95428,0.83329,0.5271,1.25735,0.9273,0.000922447,0.000922447,0.000922447
8,233.868,0.68688,1.30796,1.07619,0.98099,0.95612,0.95512,0.82638,0.50496,1.0635,0.92257,0.000891022,0.000891022,0.000891022
9,271.331,0.64664,1.25465,1.01168,0.92085,0.50601,0.51166,0.44452,0.52157,1.1603,0.91992,0.000859597,0.000859597,0.000859597
10,331.2,0.6548,1.22485,1.03744,0.97849,0.64312,0.64086,0.57719,0.5015,0.95246,0.91907,0.000828171,0.000828171,0.000828171
11,392.781,0.57986,1.09981,0.97827,0.99485,0.8913,0.8905,0.79107,0.4796,0.82124,0.90352,0.000796746,0.000796746,0.000796746
12,442.758,0.58839,1.05858,0.9873,0.98592,0.87241,0.87031,0.76749,0.44141,0.86677,0.87713,0.00076532,0.00076532,0.00076532
13,505.586,0.56159,1.09082,0.97068,0.95685,0.56159,0.56045,0.50982,0.43458,0.887,0.87627,0.000733895,0.000733895,0.000733895
14,569.231,0.56393,1.03529,0.97932,0.93864,0.85729,0.87029,0.77256,0.43447,1.05113,0.87609,0.000702469,0.000702469,0.000702469
15,643.641,0.6069,1.01819,1.01074,0.99548,0.875,0.87025,0.77928,0.46214,0.7724,0.89353,0.000671044,0.000671044,0.000671044
16,711.875,0.55986,0.95786,0.96901,0.97158,0.83333,0.83028,0.74994,0.41825,0.91478,0.86866,0.000639619,0.000639619,0.000639619
17,782.878,0.5823,0.97628,0.96629,0.99014,0.72645,0.72587,0.63511,0.50562,0.75086,0.91289,0.000608193,0.000608193,0.000608193
18,856.531,0.56225,0.95692,0.97059,0.99483,0.95833,0.9551,0.87394,0.4476,0.769,0.89177,0.000576768,0.000576768,0.000576768
19,920.206,0.55693,0.87633,0.96974,0.98737,0.76449,0.76605,0.69634,0.4514,0.74761,0.88704,0.000545342,0.000545342,0.000545342
20,982.629,0.51637,0.85074,0.94751,0.9849,0.70652,0.70561,0.62049,0.43247,0.71054,0.87495,0.000513917,0.000513917,0.000513917
21,1050.61,0.52768,0.84704,0.94364,0.98938,0.55435,0.55157,0.48334,0.43591,0.66898,0.86578,0.000482491,0.000482491,0.000482491
22,1121.76,0.48235,0.7878,0.9186,0.98417,0.70471,0.70583,0.63382,0.40363,0.71324,0.85636,0.000451066,0.000451066,0.000451066
23,1203.39,0.50188,0.79665,0.94966,0.98731,0.55435,0.5515,0.50005,0.38527,0.62901,0.85872,0.000419641,0.000419641,0.000419641
24,1303.03,0.51066,0.77103,0.93778,0.98949,0.42754,0.43203,0.39491,0.42261,0.6127,0.87724,0.000388215,0.000388215,0.000388215
25,1390.27,0.46162,0.81523,0.93341,0.97491,0.55797,0.56128,0.51214,0.42519,0.64859,0.87638,0.00035679,0.00035679,0.00035679
26,1469.95,0.38851,0.93268,0.84703,0.98011,0.42754,0.4327,0.39245,0.44294,0.6178,0.88371,0.000325364,0.000325364,0.000325364
27,1555.65,0.37573,0.89383,0.85398,0.96403,0.27899,0.284,0.26455,0.45059,0.60368,0.87739,0.000293939,0.000293939,0.000293939
28,1639.75,0.37363,0.87111,0.83324,0.95106,0.30072,0.3034,0.27717,0.46006,0.62543,0.87881,0.000262513,0.000262513,0.000262513
29,1730.81,0.37378,0.82992,0.84373,0.92503,0.38768,0.38738,0.35753,0.43264,0.60321,0.86969,0.000231088,0.000231088,0.000231088
30,1817.64,0.37187,0.83995,0.84487,0.931,0.30072,0.30311,0.28238,0.40838,0.57658,0.86293,0.000199663,0.000199663,0.000199663
31,1894.71,0.3528,0.8304,0.85909,0.9499,0.30072,0.30288,0.28098,0.40748,0.53635,0.86105,0.000168237,0.000168237,0.000168237
32,1975.29,0.34734,0.8585,0.84253,0.95028,0.23551,0.23818,0.22267,0.40811,0.52909,0.86006,0.000136812,0.000136812,0.000136812
33,2056.66,0.34297,0.74203,0.83881,0.97223,0.44746,0.44751,0.41293,0.40093,0.528,0.85655,0.000105386,0.000105386,0.000105386
34,2149.9,0.33686,0.77345,0.82834,0.91301,0.19384,0.19875,0.1888,0.40033,0.5273,0.85611,7.39609e-05,7.39609e-05,7.39609e-05
35,2245.96,0.33397,0.74266,0.82061,0.96457,0.32065,0.32295,0.29767,0.40184,0.52383,0.85575,4.25354e-05,4.25354e-05,4.25354e-05
